FixedRef,AliasTypeID,Primary,LowQuality,ParentRef
25684,1400,false,false,25684
25684,1400,false,false,25684
25685,1403,true,false,25685
25685,1400,false,true,25685
25685,1400,false,false,25685
25685,1400,false,false,25685
25686,1403,true,false,25686
25687,1403,true,false,25687
25687,1400,false,false,25687
25688,1403,true,false,25688
25689,1403,true,false,25689
25691,1403,true,false,25691
25691,1400,false,false,25691
25691,1400,false,false,25691
25691,1400,false,false,25691
25692,1403,true,false,25692
25692,1400,false,false,25692
25692,1400,false,true,25692
25693,1403,true,false,25693
25697,1403,true,false,25697
25698,1403,true,false,25698
25698,1400,false,false,25698
25708,1403,true,false,25708
25714,1403,true,false,25714
25729,1403,true,false,25729
25736,1403,true,false,25736
25749,1403,true,false,25749
25757,1403,true,false,25757
25758,1403,true,false,25758
25758,1400,false,false,25758
25758,1400,false,false,25758
25758,1400,false,false,25758
25758,1401,false,false,25758
25759,1403,true,false,25759
25760,1403,true,false,25760
25760,1400,false,false,25760
25760,1400,false,false,25760
25768,1403,true,false,25768
25768,1400,false,false,25768
25768,1400,false,false,25768
25783,1403,true,false,25783
25797,1403,true,false,25797
25798,1403,true,false,25798
25798,1400,false,false,25798
25799,1403,true,false,25799
25799,1400,false,false,25799
25799,1400,false,false,25799
25799,1400,false,false,25799
25800,1403,true,false,25800
25800,1400,false,false,25800
25800,1401,false,false,25800
25801,1403,true,false,25801
25801,1400,false,false,25801
25801,1401,false,false,25801
25802,1403,true,false,25802
25802,1400,false,true,25802
25803,1403,true,false,25803
25803,1400,false,false,25803
25803,1400,false,false,25803
25805,1403,true,false,25805
25806,1403,true,false,25806
25807,1403,true,false,25807
25829,1403,true,false,25829
25829,1400,false,false,25829
25829,1400,false,false,25829
25830,1403,true,false,25830
25830,1400,false,false,25830
25831,1403,true,false,25831
25831,1400,false,false,25831
25832,1403,true,false,25832
25832,1400,false,false,25832
25833,1403,true,false,25833
25833,1400,false,false,25833
25833,1400,false,false,25833
25834,1403,true,false,25834
25834,1400,false,true,25834
25835,1403,true,false,25835
25836,1403,true,false,25836
25836,1400,false,false,25836
25837,1403,true,false,25837
25837,1400,false,false,25837
25838,1403,true,false,25838
25839,1403,true,false,25839
25839,1400,false,false,25839
25840,1403,true,false,25840
25840,1400,false,false,25840
25840,1400,false,false,25840
25841,1403,true,false,25841
25841,1400,false,true,25841
25842,1403,true,false,25842
25842,1400,false,false,25842
25843,1403,true,false,25843
25843,1400,false,false,25843
25844,1403,true,false,25844
25844,1400,false,false,25844
25844,1400,false,false,25844
25845,1403,true,false,25845
25846,1403,true,false,25846
25847,1403,true,false,25847
25848,1403,true,false,25848
25849,1403,true,false,25849
25850,1403,true,false,25850
25850,1400,false,false,25850
25851,1403,true,false,25851
25852,1403,true,false,25852
25853,1403,true,false,25853
25854,1403,true,false,25854
25855,1403,true,false,25855
25855,1400,false,false,25855
25855,1400,false,false,25855
25856,1403,true,false,25856
25857,1403,true,false,25857
25857,1400,false,false,25857
25857,1400,false,false,25857
25857,1400,false,false,25857
25858,1403,true,false,25858
25858,1400,false,false,25858
25858,1400,false,true,25858
25858,1400,false,false,25858
25859,1403,true,false,25859
25859,1400,false,false,25859
25859,1400,false,false,25859
25860,1403,true,false,25860
25860,1400,false,false,25860
25860,1400,false,false,25860
25860,1400,false,true,25860
25860,1400,false,false,25860
25861,1403,true,false,25861
25861,1400,false,false,25861
25861,1400,false,false,25861
25877,1403,true,false,25877
25878,1403,true,false,25878
25879,1403,true,false,25879
25880,1403,true,false,25880
25881,1403,true,false,25881
25882,1403,true,false,25882
25883,1403,true,false,25883
25883,1400,false,false,25883
25883,1400,false,true,25883
25883,1400,false,false,25883
25884,1403,true,false,25884
25885,1403,true,false,25885
25885,1400,false,false,25885
25886,1403,true,false,25886
25887,1403,true,false,25887
25888,1403,true,false,25888
25889,1403,true,false,25889
25890,1403,true,false,25890
25891,1403,true,false,25891
25892,1403,true,false,25892
25893,1403,true,false,25893
25894,1403,true,false,25894
25895,1403,true,false,25895
25896,1403,true,false,25896
25897,1403,true,false,25897
25898,1403,true,false,25898
25900,1403,true,false,25900
25901,1403,true,false,25901
25902,1403,true,false,25902
25902,1400,false,false,25902
25903,1403,true,false,25903
25904,1403,true,false,25904
25905,1403,true,false,25905
25906,1403,true,false,25906
25907,1403,true,false,25907
25908,1403,true,false,25908
25909,1403,true,false,25909
25910,1403,true,false,25910
25911,1403,true,false,25911
25911,1400,false,false,25911
25912,1403,true,false,25912
25913,1403,true,false,25913
25913,1400,false,false,25913
25914,1403,true,false,25914
25915,1403,true,false,25915
25915,1400,false,false,25915
25918,1403,true,false,25918
25918,1400,false,false,25918
25919,1403,true,false,25919
25920,1403,true,false,25920
25920,1400,false,false,25920
25921,1403,true,false,25921
25922,1403,true,false,25922
25923,1403,true,false,25923
25924,1403,true,false,25924
25925,1403,true,false,25925
25925,1400,false,false,25925
25926,1403,true,false,25926
25927,1403,true,false,25927
25928,1403,true,false,25928
25928,1400,false,false,25928
25929,1403,true,false,25929
25930,1403,true,false,25930
25931,1403,true,false,25931
25931,1400,false,false,25931
25932,1403,true,false,25932
25932,1400,false,false,25932
25933,1403,true,false,25933
25934,1403,true,false,25934
25934,1400,false,false,25934
25935,1403,true,false,25935
25936,1403,true,false,25936
25936,1400,false,false,25936
25937,1403,true,false,25937
25938,1403,true,false,25938
25938,1400,false,false,25938
25939,1403,true,false,25939
25940,1403,true,false,25940
25941,1403,true,false,25941
25941,1400,false,false,25941
25942,1403,true,false,25942
25943,1403,true,false,25943
25944,1403,true,false,25944
25944,1400,false,false,25944
25945,1403,true,false,25945
25946,1403,true,false,25946
25946,1400,false,true,25946
25946,1400,false,false,25946
25947,1403,true,false,25947
25947,1400,false,false,25947
25948,1403,true,false,25948
25949,1403,true,false,25949
25950,1403,true,false,25950
25951,1403,true,false,25951
25952,1403,true,false,25952
25953,1403,true,false,25953
25954,1403,true,false,25954
25955,1403,true,false,25955
25956,1403,true,false,25956
25957,1403,true,false,25957
25958,1403,true,false,25958
25959,1403,true,false,25959
25960,1403,true,false,25960
25961,1403,true,false,25961
25962,1403,true,false,25962
25963,1403,true,false,25963
25964,1403,true,false,25964
25965,1403,true,false,25965
25966,1403,true,false,25966
25967,1403,true,false,25967
25968,1403,true,false,25968
25969,1403,true,false,25969
25970,1403,true,false,25970
25971,1403,true,false,25971
25977,1403,true,false,25977
25977,1400,false,false,25977
25978,1403,true,false,25978
25979,1403,true,false,25979
26017,1403,true,false,26017
26017,1400,false,true,26017
26037,1403,true,false,26037
26037,1400,false,false,26037
26037,1400,false,false,26037
26057,1403,true,false,26057
26057,1400,false,true,26057
26057,1400,false,false,26057
26057,1400,false,false,26057
26057,1400,false,false,26057
26057,1400,false,false,26057
26057,1400,false,false,26057
26058,1403,true,false,26058
26058,1400,false,false,26058
26058,1400,false,true,26058
26058,1400,false,true,26058
26059,1403,true,false,26059
26059,1400,false,false,26059
26059,1400,false,false,26059
26059,1400,false,false,26059
26059,1400,false,false,26059
26060,1403,true,false,26060
26060,1400,false,false,26060
26061,1403,true,false,26061
26061,1400,false,false,26061
26061,1400,false,false,26061
26061,1400,false,false,26061
26061,1400,false,false,26061
26062,1403,true,false,26062
26062,1400,false,false,26062
26077,1403,true,false,26077
26077,1400,false,false,26077
26077,1400,false,false,26077
26078,1403,true,false,26078
26078,1400,false,false,26078
26079,1403,true,false,26079
26079,1400,false,false,26079
26080,1403,true,false,26080
26081,1403,true,false,26081
26081,1400,false,false,26081
26081,1400,false,false,26081
26082,1403,true,false,26082
26082,1400,false,false,26082
26083,1403,true,false,26083
26084,1403,true,false,26084
26084,1400,false,false,26084
26085,1403,true,false,26085
26086,1403,true,false,26086
26086,1400,false,false,26086
26087,1403,true,false,26087
26088,1403,true,false,26088
26089,1403,true,false,26089
26089,1400,false,false,26089
26090,1403,true,false,26090
26090,1400,false,false,26090
26091,1403,true,false,26091
26092,1403,true,false,26092
26092,1400,false,false,26092
26093,1403,true,false,26093
26093,1400,false,false,26093
26094,1403,true,false,26094
26094,1400,false,false,26094
26094,1400,false,false,26094
26094,1400,false,false,26094
26094,1400,false,false,26094
26094,1400,false,false,26094
26094,1400,false,false,26094
26095,1403,true,false,26095
