NamePartGroupID,NamePartTypeID,ParentRef
76865,1526,4243
76838,1526,4243
85754,1526,4243
2500,1526,4249
71654,1520,4257
71655,1521,4257
14532,1520,4257
14533,1521,4257
14534,1520,4257
14535,1521,4257
14536,1520,4257
14537,1521,4257
72606,1525,4632
72604,1525,4632
17555,1525,4632
17556,1525,4632
17557,1525,4632
45272,1525,4633
17558,1525,4633
45042,1525,4635
17559,1525,4635
17560,1525,4635
45274,1525,4639
20397,1525,4639
20398,1525,4639
4346,1525,4642
14066,1525,4642
14065,1525,4642
14067,1525,4642
4371,1525,4688
14098,1525,4688
28832,1525,4690
28833,1525,4690
14104,1525,4690
14105,1525,4690
4374,1525,4691
14106,1525,4691
14107,1525,4691
14108,1525,4691
14109,1525,4691
72416,1525,4693
14110,1525,4693
27642,1525,4693
14112,1525,4693
14113,1525,4693
14114,1525,4693
14115,1525,4693
14116,1525,4693
28849,1525,4693
14118,1525,4693
14119,1525,4693
14120,1525,4693
14121,1525,4693
71628,1525,4694
14122,1525,4694
27451,1525,4694
14124,1525,4694
14125,1525,4694
14126,1525,4694
27452,1525,4694
72266,1525,4695
14128,1525,4695
14129,1525,4695
14130,1525,4695
14131,1525,4695
14132,1525,4695
14133,1525,4695
14134,1525,4695
14135,1525,4695
14136,1525,4695
14137,1525,4695
14138,1525,4695
28718,1525,4696
28719,1525,4696
14140,1525,4696
27635,1525,4696
14142,1525,4696
14143,1525,4696
14144,1525,4696
14145,1525,4696
14146,1525,4696
35183,1525,4696
72269,1525,4697
14147,1525,4697
14148,1525,4697
14149,1525,4697
14150,1525,4697
14151,1525,4697
14152,1525,4697
14153,1525,4697
14154,1525,4697
14155,1525,4697
56210,1525,4697
56211,1525,4697
56212,1525,4697
56213,1525,4697
56214,1525,4697
56222,1525,4697
56216,1525,4697
56217,1525,4697
56218,1525,4697
56219,1525,4697
56220,1525,4697
56221,1525,4697
56223,1525,4697
71630,1525,4700
14156,1525,4700
14157,1525,4700
14158,1525,4700
14159,1525,4700
14160,1525,4700
14161,1525,4700
14162,1525,4700
14163,1525,4700
14164,1525,4700
14165,1525,4700
14166,1525,4700
14167,1525,4700
14168,1525,4700
14169,1525,4700
14170,1525,4700
14171,1525,4700
14172,1525,4700
14173,1525,4700
14174,1525,4700
14175,1525,4700
14176,1525,4700
14177,1525,4700
14178,1525,4700
14179,1525,4700
14180,1525,4700
14181,1525,4700
14182,1525,4700
14183,1525,4700
14184,1525,4700
14185,1525,4700
14186,1525,4700
14187,1525,4700
14188,1525,4700
14189,1525,4700
14190,1525,4700
14191,1525,4700
14192,1525,4700
14193,1525,4700
14194,1525,4700
4381,1525,4702
14196,1525,4702
14197,1525,4702
14198,1525,4702
14199,1525,4702
14200,1525,4702
14201,1525,4702
14202,1525,4702
14203,1525,4702
14204,1525,4702
14205,1525,4702
14195,1525,4702
14206,1525,4702
14207,1525,4702
4382,1525,4703
14208,1525,4703
14209,1525,4703
14210,1525,4703
5592,1525,4706
22032,1525,4706
22033,1525,4706
71637,1525,4707
21928,1525,4707
21929,1525,4707
21930,1525,4707
21931,1525,4707
21932,1525,4707
21933,1525,4707
21934,1525,4707
21935,1525,4707
21936,1525,4707
21937,1525,4707
21938,1525,4707
71638,1525,4708
21939,1525,4708
21940,1525,4708
21941,1525,4708
71639,1525,4709
21942,1525,4709
21943,1525,4709
21944,1525,4709
21945,1525,4709
21946,1525,4709
21947,1525,4709
21948,1525,4709
21949,1525,4709
21950,1525,4709
71640,1525,4710
21951,1525,4710
5522,1525,4713
21956,1525,4713
21957,1525,4713
21958,1525,4713
21959,1525,4713
21960,1525,4713
21961,1525,4713
21962,1525,4713
21963,1525,4713
27646,1525,4714
21964,1525,4714
27644,1525,4714
21966,1525,4714
21967,1525,4714
27645,1525,4714
21969,1525,4714
21970,1525,4714
21971,1525,4714
21972,1525,4714
34430,1525,4715
21973,1525,4715
27659,1525,4715
21975,1525,4715
21976,1525,4715
28839,1525,4715
21978,1525,4715
21979,1525,4715
21980,1525,4715
21981,1525,4715
21982,1525,4715
28840,1525,4715
