
NamePartGroupID,NamePartTypeID,ParentRef,DistinctPartyRef,NamePartTypeValue
21197,1525,6531,6531,Entity Name
4839,1525,6539,6539,Entity Name
21204,1525,6539,6539,Entity Name
4850,1525,6550,6550,Entity Name
4726,1520,6635,6635,Last Name
4727,1521,6635,6635,First Name
4728,1525,6636,6636,Entity Name
21089,1525,6636,6636,Entity Name
21090,1525,6636,6636,Entity Name
21091,1525,6636,6636,Entity Name
21092,1525,6636,6636,Entity Name
21093,1525,6636,6636,Entity Name
4737,1525,6663,6663,Entity Name
21099,1525,6663,6663,Entity Name
4754,1525,6680,6680,Entity Name
21104,1525,6680,6680,Entity Name
4773,1520,6703,6703,Last Name
4774,1521,6703,6703,First Name
21107,1520,6703,6703,Last Name
21108,1521,6703,6703,First Name
21109,1520,6703,6703,Last Name
21110,1521,6703,6703,First Name
21111,1520,6703,6703,Last Name
21112,1521,6703,6703,First Name
21113,1520,6703,6703,Last Name
21114,1521,6703,6703,First Name
21115,1520,6703,6703,Last Name
21116,1521,6703,6703,First Name
4775,1520,6704,6704,Last Name
4776,1521,6704,6704,First Name
21117,1520,6704,6704,Last Name
21118,1521,6704,6704,First Name
21119,1520,6704,6704,Last Name
21120,1521,6704,6704,First Name
21121,1520,6704,6704,Last Name
21122,1521,6704,6704,First Name
21123,1520,6704,6704,Last Name
21124,1521,6704,6704,First Name
21125,1520,6704,6704,Last Name
21126,1521,6704,6704,First Name
21127,1520,6704,6704,Last Name
21128,1521,6704,6704,First Name
4777,1520,6706,6706,Last Name
4778,1521,6706,6706,First Name
21129,1520,6706,6706,Last Name
21130,1521,6706,6706,First Name
21131,1520,6706,6706,Last Name
21132,1521,6706,6706,First Name
4779,1520,6707,6707,Last Name
4780,1521,6707,6707,First Name
21133,1520,6707,6707,Last Name
21134,1521,6707,6707,First Name
4781,1520,6708,6708,Last Name
4782,1521,6708,6708,First Name
21135,1520,6708,6708,Last Name
21136,1521,6708,6708,First Name
4783,1520,6709,6709,Last Name
4784,1521,6709,6709,First Name
21137,1520,6709,6709,Last Name
21138,1520,6709,6709,Last Name
21139,1521,6709,6709,First Name
21140,1520,6709,6709,Last Name
21141,1521,6709,6709,First Name
21142,1520,6709,6709,Last Name
21143,1521,6709,6709,First Name
21144,1520,6709,6709,Last Name
21145,1521,6709,6709,First Name
4785,1520,6710,6710,Last Name
4786,1521,6710,6710,First Name
21146,1520,6710,6710,Last Name
21147,1521,6710,6710,First Name
21148,1520,6710,6710,Last Name
21149,1521,6710,6710,First Name
4789,1520,6712,6712,Last Name
4790,1521,6712,6712,First Name
21156,1520,6712,6712,Last Name
21157,1521,6712,6712,First Name
21158,1520,6712,6712,Last Name
21159,1521,6712,6712,First Name
21160,1520,6712,6712,Last Name
21161,1521,6712,6712,First Name
21162,1520,6712,6712,Last Name
21163,1521,6712,6712,First Name
21164,1520,6712,6712,Last Name
21165,1521,6712,6712,First Name
21166,1520,6712,6712,Last Name
21167,1521,6712,6712,First Name
4791,1520,6713,6713,Last Name
4792,1521,6713,6713,First Name
21168,1520,6713,6713,Last Name
21169,1521,6713,6713,First Name
21170,1520,6713,6713,Last Name
21171,1521,6713,6713,First Name
4793,1520,6714,6714,Last Name
4794,1521,6714,6714,First Name
21172,1520,6714,6714,Last Name
21173,1521,6714,6714,First Name
21174,1520,6714,6714,Last Name
21175,1521,6714,6714,First Name
21176,1520,6714,6714,Last Name
21177,1521,6714,6714,First Name
21178,1520,6714,6714,Last Name
21179,1521,6714,6714,First Name
21180,1520,6714,6714,Last Name
21181,1521,6714,6714,First Name
21182,1520,6714,6714,Last Name
21183,1521,6714,6714,First Name
21184,1520,6714,6714,Last Name
21185,1521,6714,6714,First Name
21186,1520,6714,6714,Last Name
21187,1521,6714,6714,First Name
21188,1520,6714,6714,Last Name
21189,1521,6714,6714,First Name
4795,1520,6715,6715,Last Name
4796,1521,6715,6715,First Name
4797,1520,6717,6717,Last Name
4798,1521,6717,6717,First Name
4799,1520,6718,6718,Last Name
4800,1521,6718,6718,First Name
4801,1525,6719,6719,Entity Name
4802,1525,6720,6720,Entity Name
4803,1525,6721,6721,Entity Name
4804,1525,6722,6722,Entity Name
21190,1525,6722,6722,Entity Name
3702,1525,6723,6723,Entity Name
3703,1520,6724,6724,Last Name
3704,1521,6724,6724,First Name
28838,1525,6725,6725,Entity Name
28837,1525,6725,6725,Entity Name
4614,1525,6726,6726,Entity Name
4640,1520,6823,6823,Last Name
4641,1521,6823,6823,First Name
20860,1520,6823,6823,Last Name
20861,1521,6823,6823,First Name
4642,1525,6824,6824,Entity Name
20862,1525,6824,6824,Entity Name
4644,1525,6826,6826,Entity Name
4653,1520,6831,6831,Last Name
4654,1521,6831,6831,First Name
4655,1520,6832,6832,Last Name
4656,1521,6832,6832,First Name
20865,1520,6832,6832,Last Name
20866,1521,6832,6832,First Name
4693,1525,6853,6853,Entity Name
20869,1525,6853,6853,Entity Name
20870,1525,6853,6853,Entity Name
20871,1525,6853,6853,Entity Name
