ID,FeatureTypeID,ParentRef,FeatureVersionID,ReliabilityID
152928,25,4696,202928,1
20151,125,4697,17890,1
152929,25,4697,202929,1
152932,25,4700,202932,1
152934,25,4702,202934,1
152935,25,4703,202935,1
152938,25,4706,202938,1
152939,25,4707,202939,1
152940,25,4708,202940,1
152941,25,4709,202941,1
152942,25,4710,202942,1
152945,25,4713,202945,1
152946,25,4714,202946,1
152947,25,4715,202947,1
152949,25,4717,202949,1
1120,8,6365,3104,1
1121,9,6365,3105,1
1122,9,6365,3106,1
1123,8,6365,3107,1
153872,25,6365,203872,1
153873,25,6366,203873,1
1124,8,6367,5152,1
1125,9,6367,5153,1
1126,8,6367,5154,1
1127,8,6367,5155,1
153874,25,6367,203874,1
1128,8,6368,3108,1
1129,9,6368,3109,1
153875,25,6368,203875,1
153969,25,6531,203969,1
153970,25,6531,203970,1
153985,25,6539,203985,1
154000,25,6550,204000,1
154001,25,6550,204001,1
154002,25,6550,204002,1
1134,8,6635,2681,1
1135,9,6635,2682,1
154474,25,6635,204474,1
306635,26,6635,406635,1
154475,25,6636,204475,1
154516,25,6663,204516,1
154544,25,6680,204544,1
154545,25,6680,204545,1
1142,8,6703,2689,1
1143,9,6703,2690,1
1144,8,6703,2691,1
1145,8,6703,2692,1
154631,25,6703,204631,1
1146,8,6704,2693,1
1147,9,6704,2694,1
1148,8,6704,2695,1
1149,8,6704,2696,1
154632,25,6704,204632,1
1150,8,6706,2697,1
1151,9,6706,2698,1
154634,25,6706,204634,1
1152,8,6707,2699,1
1153,9,6707,2700,1
1154,8,6707,2701,1
1155,8,6707,2702,1
154635,25,6707,204635,1
1156,8,6708,2703,1
1157,9,6708,2704,1
154636,25,6708,204636,1
1158,8,6709,2705,1
1159,9,6709,2706,1
1160,8,6709,2707,1
1161,8,6709,2708,1
154637,25,6709,204637,1
1162,8,6710,2709,1
1163,9,6710,2710,1
154638,25,6710,204638,1
1166,8,6712,2713,1
1167,9,6712,2714,1
154640,25,6712,204640,1
1168,8,6713,2715,1
1169,9,6713,2716,1
154641,25,6713,204641,1
1170,8,6714,2717,1
1171,8,6714,2718,1
154643,25,6714,204643,1
1172,8,6715,2719,1
1173,9,6715,2720,1
1174,8,6715,2721,1
1175,8,6715,2722,1
154642,25,6715,204642,1
1176,8,6717,2723,1
1177,9,6717,2724,1
154647,25,6717,204647,1
154648,25,6717,204648,1
154649,25,6717,204649,1
154650,25,6717,204650,1
154651,25,6717,204651,1
154652,25,6717,204652,1
154653,25,6717,204653,1
155573,25,6717,205573,1
155574,25,6717,205574,1
155575,25,6717,205575,1
155576,25,6717,205576,1
1178,8,6718,2725,1
154654,25,6718,204654,1
162989,25,6718,212989,1
162990,25,6718,212990,1
154655,25,6719,204655,1
154657,25,6719,204657,1
154658,25,6719,204658,1
154656,25,6720,204656,1
154659,25,6720,204659,1
154660,25,6720,204660,1
154661,25,6721,204661,1
154662,25,6722,204662,1
155577,25,6722,205577,1
154663,25,6723,204663,1
154664,25,6723,204664,1
1179,8,6724,6428,1
1180,9,6724,6429,1
154666,25,6724,204666,1
154667,25,6724,204667,1
154668,25,6724,204668,1
154669,25,6724,204669,1
155578,25,6724,205578,1
155579,25,6724,205579,1
154670,25,6725,204670,1
154671,25,6726,204671,1
1183,8,6823,2653,1
154832,25,6823,204832,1
154833,25,6823,204833,1
154834,25,6823,204834,1
154835,25,6823,204835,1
154836,25,6824,204836,1
154837,25,6824,204837,1
154841,25,6826,204841,1
154842,25,6826,204842,1
3787,8,6831,2654,1
154849,25,6831,204849,1
154850,25,6831,204850,1
154851,25,6832,204851,1
63267,504,6853,60946,1
215143,25,6853,265143,1
215144,25,6853,265144,1
1186,8,6856,2659,1
1187,9,6856,2660,1
