ID,AreaCodeID,CountryID,CountryRelevanceID,Values,FeatureVersionID
18186,11143,11143,1413,"Villa Hidalgo, Coahuila",218186
18187,11143,11143,1413,"Paseo Colon St., Nuevo Laredo, Tamaulipas",218187
18188,11143,11143,1413,"Lago St. and La Chapalla, Nuevo Laredo, Tamaulipas",218188
18189,11143,11143,1413,"1418 Yucatan, Nuevo Laredo, Tamaulipas",218189
18176,11143,11143,1413,"Colonia Militar, Nuevo Laredo, Tamaulipas",218176
18177,11143,11143,1413,"Reynosa, Tamaulipas",218177
18178,11143,11143,1413,Coahuila,218178
18175,11143,11143,1413,,218175
18173,11143,11143,1413,Michoacan,218173
18174,11143,11143,1413,"Petacalco, Guerrero",218174
18172,11143,11143,1413,,218172
18171,11143,11143,1413,,218171
18170,11143,11143,1413,"Calle Siete de Abril No. 5, Colonia Hidalgo, Hidalgo, C.P. 42500",218170
18168,11143,11143,1413,"Privada A2 28, Colonia Infonavit, Nuevo Laredo, Tamaulipas",218168
18169,11143,11143,1413,"Calle Tierra del Soconusco 252, Nuevo Laredo, Tamaulipas",218169
18167,11143,11143,1413,,218167
18166,11143,11143,1413,,218166
18165,11143,11143,1413,,218165
18164,11143,11143,1413,,218164
18162,11143,11143,1413,,218162
18163,11143,11143,1413,"Calle 22, Valle Hermoso, Tamaulipas",218163
18160,11143,11143,1413,,218160
18161,11143,11143,1413,"Calle Astros 7, Col. Praxedis Balboa, Matamoros, Tamaulipas",218161
18156,11143,11143,1413,"Privada Laredo 6412, Colonia Hipodromo, Nuevo Laredo, Tamaulipas",218156
18157,11143,11143,1413,"Calle Villareal 23, Colonia Country Club, Hermosillo, Sonora",218157
18158,11143,11143,1413,"Calle Leonardo Valles 721, Hermosillo, Sonora",218158
18159,11143,11143,1413,"Calle Sierra Azul 239, Hermosillo, Sonora",218159
18153,11143,11143,1413,"Privada Los Ebanos 105, Fraccionamiento Pedregal, San Nicholas de Los Garza, Nuevo Leon",218153
18154,11143,11143,1413,"Espana Street, Col. Buena Vista, Matamoros, Tamaulipas",218154
18155,11143,11143,1413,"Nuevo Laredo, Tamaulipas",218155
18152,11143,11143,1413,"Calle Venustiano Carranza No. 904, Col. Josefa Ortiz de Dominguez, Apatzingan, Michoacan",218152
18151,11143,11143,1413,"Calle Congregacion Troncones y Potrerillos, Colonia Congrecaciones Troncones y Potrerillos, Coatzintla, Veracruz, C.P. 93160",218151
18147,11143,11143,1413,"Fraccionamiento Santa Isabel, Tlajomulco De Zuniga, Jalisco",218147
18148,11098,11098,1413,"Aldea San Cristobal, Comapa, Jutiapa",218148
18149,11143,11143,1413,"Valle Hermoso, Tamaulipas",218149
18150,11143,11143,1413,"Matamoros, Tamaulipas",218150
18146,11143,11143,1413,"Avenida Insurgentes Centro No. 60, No. Int. 1, Colonia Tabacalera, Delegacion Cuauhtemoc, Mexico, Distrito Federal, C.P. 06030",218146
18144,11143,11143,1413,"Calle Mariano Matamoros No. 58, Centro, Colonia San Gabriel Chilac, Puebla",218144
18145,11143,11143,1413,"Calle Sagitaro y Lactea No. 3085, Colonia Las Palmas, entre Lactea y Av. La Paz, Ciudad Victoria, Tamaulipas",218145
18142,11143,11143,1413,"Cuauhtemoc 805, Nuevo Laredo, Tamaulipas",218142
18143,11143,11143,1413,"Diaz Miron 604, Colonia Victoria, Nuevo Laredo, Tamaulipas",218143
18141,11143,11143,1413,"Calle Abasolo No. 15, Colonia Miguel Aleman, Comitan, Chiapas, C.P. 3000",218141
18140,11143,11143,1413,,218140
18139,11143,11143,1413,"Privada Garcia Conde No. 107, Int. 06, Col. San Felipe, Chihuahua, Chihuaha",218139
18138,11143,11143,1413,"Calle Gustavo Garmendia No. 1850, Colonia Hidalgo, Culiacan, Sinaloa",218138
18137,11143,11143,1413,,218137
18136,11143,11143,1413,,218136
18135,11143,11143,1413,"Calle Ninos Heroes No. 143, entre Miguel Hidalgo y Jose Maria Morelos, Saltillo, Coahuila, C.P. 25060",218135
18134,11143,11143,1413,,218134
18133,11143,11143,1413,,218133
18132,11143,11143,1413,"Calle Avalo No. 28, Colonia Las Lomas, Tuxpan, Veracruz, C.P. 92800",218132
18131,11143,11143,1413,"Calle E. Zapata No. 2, Col. Plan de Ayala, Tihuatlan, Veracruz",218131
18127,11143,11143,1413,,218127
18126,11143,11143,1413,"Calle Llano Grande, Tampico Alto, Veracruz, C.P. 92040",218126
18125,11143,11143,1413,,218125
18122,11143,11143,1413,"Matamoros, Tamaulipas",218122
18123,11143,11143,1413,"Carretera A La Playa El Huizachal, Valle Hermoso, Tamaulipas",218123
18124,11143,11143,1413,"Fraccionamiento Valle De Aguayo, 9th Street and Quintana Roo No. 3150, Ciudad Victoria, Tamaulipas",218124
18121,11143,11143,1413,"Piedras Negras, Coahuila",218121
18119,11143,11143,1413,"Calle Libertad No. 5, Col. San Fernando, Matamoros, Tamaulipas",218119
18120,11143,11143,1413,"Calle Libertad No. 84, Col. San Fernando, Matamoros, Tamaulipas",218120
18115,11143,11143,1413,"Guadalupe, Nuevo Leon",218115
18116,11143,11143,1413,"San Nicholas, Nuevo Leon",218116
18117,11143,11143,1413,"Tampico, Tamaulipas",218117
18118,11143,11143,1413,"Calle Abelardo Rodriguez, Matamoros, Tamaulipas",218118
18106,11143,11143,1413,"Calle Guatemala No. 5610, Colonia Hipodromo, Nuevo Laredo, Tamaulipas",218106
18107,11143,11143,1413,"Calle Tiera Del Soconusco No. 252, Fraccionamiento Colinas Del Sur, Nuevo Laredo, Tamaulipas",218107
18108,11143,11143,1413,"Calle Mundial No. 55, Nuevo Laredo, Tamaulipas",218108
18109,11143,11143,1413,"Sinaloa No. 10, Kilometer 10, Nuevo Laredo, Tamaulipas",218109
18110,11143,11143,1413,"Calle Ramiro Pena No. 829, Colonia Electricistas, Nuevo Laredo, Tamaulipas",218110
18111,11143,11143,1413,"Calle Habana No. 2204, Colonia Americo Villarreal, Nuevo Laredo, Tamaulipas",218111
18112,11143,11143,1413,"Veracruz No. 500 o 550, Colonia Electricistas, Nuevo Laredo, Tamaulipas",218112
18113,11143,11143,1413,"Calle Chihuahua No. 805 0 815, Cerca de la esquina de Calle Ruiz Cortines, Nuevo Laredo, Tamaulipas",218113
18105,11143,11143,1413,"Calle Xolmon, Tampaxal, Colonia Aquismon, San Luis Potosi, C.P. 79760",218105
18100,11143,11143,1413,"Avenida Manuel M. Ponce 2404, Colonia Zaragoza, Nuevo Laredo, Tamaulipas",218100
18101,11143,11143,1413,"Leonides Guerra No. 97 y Eugenio Lopez No. 97, Colonia San Rafael, Matamoros, Tamaulipas",218101
18102,11143,11143,1413,"Claveles No. 320, entre Retama y Palma, Colonia Jardin, Reynosa, Tamaulipas",218102
18103,11143,11143,1413,"Octava No. 433, entre Fuente de Diana y Boulevard Oriente Dos, Colonia Las Fuentes, Reynosa, Tamaulipas",218103
18104,11143,11143,1413,"Calle Ciudad PEMEX, Enseguida del Numero 512, Colonia Jose de Escandon - Petrolera, Reynosa, Tamaulipas",218104
18207,11291,N/A,N/A,,218207
18209,11160,11160,1413,"ST 1/A, Block 2, Gulshan-e-Iqbal, Karachi",218209
18211,11160,11160,1413,Karachi,218211
18212,11291,N/A,N/A,,218212
18213,11291,N/A,N/A,,218213
18215,11069,11069,1413,"Runyoni, Rutshuru, North Kivu",218215
18216,11291,N/A,N/A,,218216
18217,11291,N/A,N/A,,218217
18218,11291,N/A,N/A,,218218
18220,11172,11172,1413,,218220
18224,11098,11098,1413,"La Reforma, Zacapa",218224
18223,11098,11098,1413,"La Reforma, Zacapa",218223
18222,11098,11098,1413,Zacapa,218222
18221,11098,11098,1413,"La Reforma, Zacapa",218221
